X,Y,objectid,arc_,streetcl_,streetcl_i,node_id,int_id,update_,intersecti,x_coord,y_coord
-8365716.04863604,4856884.08365677,10721,,,,23053,23053,1998/06/17 00:00:00+00,S LEITHGOW ST & QUEEN ST,,
-8365791.75331206,4856901.80629613,10722,,,,23039,23039,1998/06/17 00:00:00+00,S LAWRENCE ST & QUEEN ST,,
-8365877.84400739,4857023.95343609,10723,,,,22924,22924,1998/06/17 00:00:00+00,CATHARINE ST & S REESE ST,,
-8365886.35513161,4856977.60275355,10724,,,,22967,22967,1998/06/17 00:00:00+00,KAUFFMAN ST & S REESE ST,,
-8365894.89686781,4856924.9819137,10725,,,,23020,23020,1998/06/17 00:00:00+00,QUEEN ST & S REESE ST,,
-8365843.36735926,4856913.01717506,10726,,,,23032,23032,1998/06/17 00:00:00+00,S 5TH ST & QUEEN ST,,
-8365669.24823304,4856872.87215969,10727,,,,23063,23063,1998/06/17 00:00:00+00,S 4TH ST & QUEEN ST,,
-8366002.7688005,4857000.52657696,10728,,,,22948,22948,1998/06/17 00:00:00+00,S 6TH ST & E PASSYUNK AVE,,
-8366028.70825003,4856968.4269524,10729,,,,22977,22977,1998/06/17 00:00:00+00,E PASSYUNK AVE & QUEEN ST,,
-8366017.90306877,4856953.76765256,10730,,,,22994,22994,1998/06/17 00:00:00+00,S 6TH ST & QUEEN ST,,
-8366102.62442124,4857064.67552755,10731,,,,22892,22892,1998/06/17 00:00:00+00,CATHARINE ST & S SHERIDAN ST,,
-8366115.95563403,4856982.54891928,10732,,,,22965,22965,1998/06/17 00:00:00+00,QUEEN ST & S SHERIDAN ST,,
-8366074.54635817,4856918.1063275,10733,,,,23029,23029,1998/06/17 00:00:00+00,CHRISTIAN ST & E PASSYUNK AVE,,
-8366025.88108221,4856899.68234123,10734,,,,23045,23045,1998/06/17 00:00:00+00,S 6TH ST & CHRISTIAN ST,,
-8366001.17381263,4857048.81081974,10735,,,,22906,22906,1998/06/17 00:00:00+00,S 6TH ST & CATHARINE ST,,
-8365855.76450329,4856840.9858598,10736,,,,23100,23100,1998/06/17 00:00:00+00,S 5TH ST & CHRISTIAN ST,,
-8366175.22028292,4857076.82781962,10737,,,,22884,22884,1998/06/17 00:00:00+00,S 7TH ST & CATHARINE ST,,
-8366195.26238919,4856959.85123931,10738,,,,22987,22987,1998/06/17 00:00:00+00,S 7TH ST & CHRISTIAN ST,,
-8366203.8143884,4856913.31136263,10739,,,,23038,23038,1998/06/17 00:00:00+00,S 7TH ST & SALTER ST,,
-8366363.2482359,4857020.66119452,10740,,,,22941,22941,1998/06/17 00:00:00+00,S 8TH ST & CHRISTIAN ST,,
-8366371.83365431,4856971.32741741,10741,,,,22984,22984,1998/06/17 00:00:00+00,S 8TH ST & SALTER ST,,
-8366380.28861308,4856919.28126093,10742,,,,27204,23042,1998/06/15 00:00:00+00,S 8TH ST & MONTROSE ST,,
-8366252.76060543,4856874.11938219,10743,,,,23075,23075,1998/06/17 00:00:00+00,S BEULAH ST & MONTROSE ST,,
-8366212.02682164,4856860.55600826,10744,,,,23094,23094,1998/06/17 00:00:00+00,S 7TH ST & MONTROSE ST,,
-8365885.65441252,4857730.0737411,10745,,,,22219,22219,1998/06/17 00:00:00+00,S 6TH ST & ADDISON ST,,
-8367438.99556565,4856347.7634864,10746,,,,23625,23625,1998/06/17 00:00:00+00,S CLARION ST & WHARTON ST,,
-8367433.09111058,4856346.90376157,10747,,,,27205,23625,1998/06/17 00:00:00+00,S CLARION ST & WHARTON ST,,
-8366148.30093779,4856839.1769172,10748,,,,23112,23112,1998/06/17 00:00:00+00,MONTROSE ST & E PASSYUNK AVE,,
-8366041.92936048,4856801.50276907,10749,,,,23136,23136,1998/06/17 00:00:00+00,S 6TH ST & MONTROSE ST,,
-8366223.28187307,4856764.83122589,10750,,,,23187,23187,1998/06/17 00:00:00+00,S 7TH ST & E PASSYUNK AVE,,
-8366059.55881199,4856702.37783447,10751,,,,23250,23250,1998/06/17 00:00:00+00,S 6TH ST & CARPENTER ST,,
-8366259.60259258,4856720.33510923,10752,,,,23234,23234,1998/06/17 00:00:00+00,KIMBALL ST & E PASSYUNK AVE,,
-8366241.15592582,4856690.45362451,10753,,,,23269,23269,1998/06/23 00:00:00+00,S 7TH ST & KIMBALL ST,,
-8366417.18015582,4856700.17797532,10754,,,,23256,23246,1998/06/17 00:00:00+00,S 8TH ST & LEAGUE ST,,
-8366405.33551377,4856770.52353548,10755,,,,23179,23179,1998/06/15 00:00:00+00,S 8TH ST & KIMBALL ST,,
-8366427.15123846,4856638.94605244,10756,,,,23312,23312,1998/06/17 00:00:00+00,S 8TH ST & WASHINGTON AVE,,
-8366573.89215919,4856382.75087147,10757,,,,23564,23564,1998/06/17 00:00:00+00,FEDERAL ST & E PASSYUNK AVE,,
-8366441.37942554,4856556.59868567,10758,,,,23405,23405,1998/06/17 00:00:00+00,S 8TH ST & ALTER ST,,
-8366356.14633002,4856615.97131845,10759,,,,23340,23340,1998/06/17 00:00:00+00,E PASSYUNK AVE & WASHINGTON AVE,,
-8366301.70844171,4856596.81018216,10760,,,,23363,23363,1998/06/17 00:00:00+00,S FRANKLIN ST & WASHINGTON AVE,,
-8366260.06123186,4856581.91572431,10761,,,,23380,23380,1998/06/17 00:00:00+00,S 7TH ST & WASHINGTON AVE,,
-8366357.68985461,4856536.2423928,10762,,,,23418,23418,1998/06/17 00:00:00+00,ALTER ST & S FRANKLIN ST,,
-8366384.84528694,4856506.98850598,10763,,,,23453,23453,1998/06/17 00:00:00+00,S FRANKLIN ST & DEAD END SOUTH,,
-8366273.54519954,4856505.60079415,10764,,,,23448,23448,1998/06/17 00:00:00+00,S 7TH ST & ALTER ST,,
-8366280.96851631,4856454.12961279,10765,,,,23499,23499,1998/06/17 00:00:00+00,S 7TH ST & ELLSWORTH ST,,
-8366472.91742798,4856365.56236135,10766,,,,23582,23582,1998/06/17 00:00:00+00,S 8TH ST & FEDERAL ST,,
-8366301.37425827,4856335.58807918,10767,,,,23601,23601,1998/06/17 00:00:00+00,S 7TH ST & FEDERAL ST,,
-8366463.01967332,4856428.78581369,10768,,,,23528,23528,1998/06/17 00:00:00+00,S 8TH ST & ANNIN ST,,
-8366290.72950803,4856399.75452068,10769,,,,23549,23549,1998/06/17 00:00:00+00,S 7TH ST & ANNIN ST,,
