the_geom,the_geom_webmercator,street,city,state,latitude,longitude,district_number,block,side,lat,lng
0101000020E6100000E08787863ECB52C048284F56D5F84340,0101000020110F00004549E8EA61EC5FC115E10558F4875241,BAINBRIDGE ST,Philadelphia, PA,39.944010533,-75.175691254,1,1400,S/S,39.94401053300004,-75.17569125399996
0101000020E61000009484B8303AC952C010FF113C74F84340,0101000020110F0000E0DACDDEF4E85FC1C28F48C788875241,S 13TH ST,Philadelphia, PA,39.9410472000001,-75.144176655,23,1500,B/S,39.94104720000007,-75.14417665499997
0101000020E6100000281EC88E2EC852C0C89062A112FD4340,0101000020110F00002AF2FB442EE75FC1AC6E50E5A68C5241,E NORRIS,Philadelphia, PA,39.977131055,-75.127841659,25,2399,B/S,39.97713105500003,-75.12784165899996
0101000020E61000007C7E24945AC952C0B0511340DBF74340,0101000020110F00009A4D9EE22BE95FC15860BF51DF865241,BECK ST,Philadelphia, PA,39.9363784880001,-75.146153484,7,100,S/S,39.93637848800006,-75.14615348399997
0101000020E61000006C6376C0BCCE52C0B0F135781DFA4340,0101000020110F00006BC2D8D950F25FC1BD8C0ADE5F895241,PINE ST,Philadelphia, PA,39.95402434,-75.2302704959999,1,2000,N/S,39.954024340000046,-75.23027049599995
0101000020E6100000CCC7434C3AC952C060C6794474F84340,0101000020110F00004F22970DF5E85FC1162598D088875241,S 21ST ST,Philadelphia, PA,39.941048202,-75.144183222,1,400,E/S,39.94104820200005,-75.14418322199998
0101000020E6100000ACF8E17B3AC952C0D81B7D8572F84340,0101000020110F00006666795EF5E85FC12C7774E186875241,N 20TH ST,Philadelphia, PA,39.9409949170001,-75.144194575,14,5600,E/S,39.94099491700007,-75.14419457499997
0101000020E6100000FC9E399A0CCF52C0385CAE6297F94340,0101000020110F000009D13C7CD8F25FC11EE9A550CB885241,CATHARINE ST,Philadelphia, PA,39.9499324180001,-75.235144192,1,1800,B/S,39.94993241800006,-75.23514419199995
0101000020E6100000D8E31F924ECB52C078915D64A0FA4340,0101000020110F00002032122C7DEC5FC1958EEBECF0895241,CROSKEY ST,Philadelphia, PA,39.9580197770001,-75.1766705809999,17,700,W/S,39.95801977700006,-75.17667058099994
0101000020E610000054C68B27F0CA52C0D0EB2D8A03F64340,0101000020110F0000EE3EE9CBDCEB5FC144E826E2D4845241,S ROSEWOOD ST,Philadelphia, PA,39.921983025,-75.1709078659999,27,2200,E/S,39.92198302500003,-75.17090786599994
0101000020E61000009C9967F2BBCA52C0903B3854E3FB4340,0101000020110F000038AADF1D84EB5FC1513818C4568B5241,SHIRLEY ST,Philadelphia, PA,39.9678750300001,-75.1677213679999,17,799,W/S,39.96787503000007,-75.16772136799995
0101000020E6100000FCC048743EC952C06881E79275F84340,0101000020110F00002737EF1CFCE85FC151D10C438A875241,S 43RD ST,Philadelphia, PA,39.941088069,-75.144436904,2,300,B/S,39.941088069000045,-75.14443690399997
0101000020E6100000ECEAD32C5BCC52C0903DD65422FB4340,0101000020110F00009627716C45EE5FC1073D16E7808A5241,HAMILTON ST,Philadelphia, PA,39.9619852110001,-75.1930648869999,3,3800,B/S,39.96198521100007,-75.19306488699993
0101000020E610000024015A88E8CB52C0B06ECFD511F74340,0101000020110F0000D5121AB182ED5FC191354B3B00865241,MOORE ST,Philadelphia, PA,39.930231787,-75.1860676649999,24,1100,N/S,39.930231787000025,-75.18606766499994
0101000020E6100000A491C603F2CD52C0180E8E4351FB4340,0101000020110F00009AB84E7BF8F05FC1D43454E8B48A5241,WALLACE ST,Philadelphia, PA,39.9634174770001,-75.2178964079999,6,2300,S/S,39.963417477000064,-75.21789640799994
0101000020E6100000EC4656E6BCCD52C04031D3DF93034440,0101000020110F0000188FB0429EF05FC11C552131DD935241,CLEARVIEW AVE,Philadelphia, PA,40.0279502660001,-75.2146545259999,14,1400,B/S,40.02795026600006,-75.21465452599995
0101000020E61000003809D769C5CB52C06018255F7EF64340,0101000020110F00000E2ED00947ED5FC12EEDD7E95C855241,CANTRELL ST,Philadelphia, PA,39.9257315570001,-75.1839241599999,24,1100,N/S,39.92573155700006,-75.18392415999995
0101000020E6100000686CF3223AC952C02841E03774F84340,0101000020110F00009D206AC7F4E85FC10F26A3C288875241,S 09TH ST,Philadelphia, PA,39.9410467000001,-75.144173372,4,299,E/S,39.94104670000007,-75.14417337199995
0101000020E610000024340CC910CF52C0989224F673FB4340,0101000020110F000051322397DFF25FC1C6481B5BDB8A5241,RACE ST,Philadelphia, PA,39.9644763640001,-75.235399496,6,2000,N/S,39.96447636400006,-75.23539949599996
0101000020E61000003C9C0C0340C952C0F0C0161476F84340,0101000020110F00000DEB46C2FEE85FC15CC226D28A875241,N 63RD ST,Philadelphia, PA,39.941103469,-75.144531977,3,99,E/S,39.94110346900004,-75.14453197699999
0101000020E61000007C8D9B4F7AC952C0D8CF38CDF5F74340,0101000020110F0000F72824C961E95FC1474DA9BAFC865241,QUEEN ST,Philadelphia, PA,39.9371887710001,-75.148090269,7,LOT,B/S,39.93718877100008,-75.14809026899997
0101000020E610000048858A07DACA52C0A8C7843F13044440,0101000020110F0000BF610737B7EB5FC199188F786A945241,PENN AVE,Philadelphia, PA,40.0318374060001,-75.1695574619999,17,2600,N/S,40.03183740600008,-75.16955746199994
0101000020E6100000686CF3223AC952C02841E03774F84340,0101000020110F00009D206AC7F4E85FC10F26A3C288875241,S 09TH ST,Philadelphia, PA,39.9410467000001,-75.144173372,22,799,B/S,39.94104670000007,-75.14417337199995
0101000020E610000018970A2772CC52C0A02B11155B014440,0101000020110F00005742F9736CEE5FC13C2E666766915241,STANTON ST,Philadelphia, PA,40.0105921110001,-75.194467316,8,3600,B/S,40.01059211100005,-75.19446731599999
0101000020E610000068E5B6613AC952C050B4807D72F84340,0101000020110F0000B7580632F5E85FC141D39BD886875241,S 12TH ST,Philadelphia, PA,39.9409939650001,-75.144188336,24,1800,B/S,39.940993965000075,-75.14418833599996
0101000020E6100000D8E5DF577ACA52C08802751E63F54340,0101000020110F0000D9A0ACAE14EB5FC11FBE9E3C23845241,S HUTCHINSON ST,Philadelphia, PA,39.917087371,-75.16371724,22,799,E/S,39.91708737100004,-75.16371723999998
